1,22.52403846,2.2,19
2,22.54903846,2,27
3,22.55721154,2.3,30
4,22.91490385,2.1,115
5,23.00432692,4.4,11
6,23.08629808,4.5,32
7,23.11754808,4.3,119
8,23.15192308,4.4,138
9,23.68725962,3.8,58
10,23.71225962,3.7,154
11,23.89302885,3.8,33
12,23.91802885,3.9,26
13,23.93870192,3.8,26
14,23.96370192,3.7,103
15,24.22259615,4.4,107
16,24.23701923,4.6,34
17,24.27451923,4.5,101
18,24.29951923,4.5,42
19,24.86490385,2,3
20,24.88990385,2,57
21,24.97932692,3.3,215
22,25.00432692,3.7,57
23,25.17259615,4.4,71
24,25.19759615,4.5,143
25,25.56658654,4.4,9
26,25.59158654,4.6,25
27,25.62283654,4.5,67
28,25.63725962,4.5,7
29,25.66225962,4.3,26
30,25.95120192,4.4,256
31,25.97620192,5,20
32,26.00432692,5,223
33,26.09567308,4.9,193
34,26.49278846,4.8,14
35,26.65288462,2,106
36,26.67788462,1.8,88
37,26.70288462,1.7,39
38,26.86177885,3.3,30
39,26.92427885,2.8,38
40,26.93245192,3,132
41,27.00432692,3.1,200
42,27.60408654,2,44
43,27.63221154,2,7
44,27.64350962,1.9,27
45,27.76105769,3.8,54
46,27.78605769,3.6,228
47,27.79423077,3.5,89
48,27.87427885,3.7,248
49,27.89927885,3.5,68
50,27.92740385,3.8,235
51,27.94807692,3.9,15
52,27.97307692,1,242
53,28.00432692,5,13
54,28.18197115,5,27
55,28.22572115,5,6
56,28.24326923,1.9,106
57,28.28076923,1.8,13
58,28.61971154,2,42
59,28.62475962,2.1,104
60,28.65288462,2.1,213
61,28.89615385,1.9,293
62,28.92115385,3,33
63,28.92932692,2.8,158
64,29.09254808,2.7,95
65,29.11754808,4,200
66,29.15192308,3.7,40
67,29.61850962,4,200
68,29.64350962,3.6,104
69,29.67163462,4,49
70,29.70913462,2,139
71,29.71418269,2,45
72,29.78173077,5,37
73,29.80673077,5,140
74,29.94182692,5,82
75,29.96682692,5,23
76,30.00432692,2,60
77,30.08629808,2,76
78,30.68413462,2.2,51
79,30.70913462,2.3,254
80,30.77548077,1.9,12
81,30.88990385,0.7,0
82,30.91490385,0.7,136
83,31.21947115,4.3,21
84,31.24447115,4.5,17
